Vibration3HDate,Vibration3H
2017-02-13,
2017-02-14,
2017-02-15,
2017-02-16,199.52899693130837
2017-02-17,186.44898585055995
2017-02-18,173.48620014505227
2017-02-19,164.01506420385624
2017-02-20,167.34227260737555
2017-02-21,168.62318645916199
2017-02-22,168.02652292453405
2017-02-23,167.4293025931013
2017-02-24,166.83155360813987
2017-02-25,166.23323763991257
2017-02-26,165.63439811835454
2017-02-27,165.10642309139524
2017-02-28,164.57791942484224
2017-03-01,164.0488487889583
2017-03-02,163.51925967207174
2017-03-03,163.4989048007605
2017-03-04,165.63772400551554
2017-03-05,167.62359121157425
2017-03-06,169.38929717598077
2017-03-07,171.15562186686515
2017-03-08,172.92258564321426
2017-03-09,174.69017321836927
2017-03-10,176.5060123871271
2017-03-11,178.5242002635201
2017-03-12,180.51212412375395
2017-03-13,182.09077204926564
2017-03-14,183.66961582431918
2017-03-15,185.24866352964017
2017-03-16,186.8279233846447
2017-03-17,187.55021196246892
2017-03-18,184.64154029489475
2017-03-19,182.28953946908365
2017-03-20,180.514746483313
2017-03-21,178.74093825754616
2017-03-22,176.96809382657034
2017-03-23,175.19622294171975
2017-03-24,174.33010358118096
2017-03-25,177.29784998441562
2017-03-26,179.67916862211936
2017-03-27,181.85031461278777
2017-03-28,184.02229199414685
2017-03-29,186.19513400967082
2017-03-30,188.36880741588544
2017-03-31,189.73382599246014
2017-04-01,187.67025106202797
2017-04-02,186.02217135683685
2017-04-03,184.87492963682666
2017-04-04,183.72671437069133
2017-04-05,182.57751240537704
2017-04-06,181.22225919075652
2017-04-07,181.10384677185755
2017-04-08,186.22916572672958
2017-04-09,190.54940492973353
2017-04-10,194.10372400550824
2017-04-11,197.6710080112711
2017-04-12,201.23723600800705
2017-04-13,204.69698968715437
2017-04-14,206.86999960899334
2017-04-15,203.59523345511943
2017-04-16,201.15417495190547
2017-04-17,199.50614113001268
2017-04-18,197.8570876978275
2017-04-19,196.2069864842038
2017-04-20,194.5558656463528
2017-04-21,193.41560396879507
2017-04-22,194.4429294774575
2017-04-23,195.13688477614943
2017-04-24,195.51365530629735
2017-04-25,195.89070920400283
2017-04-26,196.26806174199
2017-04-27,196.64570782006075
2017-04-28,197.02364743821525
2017-04-29,197.40188059645337
2017-04-30,197.7804072947751
2017-05-01,198.15922753318057
2017-05-02,198.53793687711706
2017-05-03,198.9165353265849
2017-05-04,199.2947661437485
2017-05-05,199.67262424234494
2017-05-06,200.0501248672283
2017-05-07,200.42725275960956
2017-05-08,200.8040130196866
2017-05-09,201.18040056119648
2017-05-10,201.49173337730332
2017-05-11,201.80269854717096
2017-05-12,202.11330911392878
2017-05-13,202.4235651054467
2017-05-14,202.7334614075918
2017-05-15,203.043008206825
2017-05-16,203.35220041688342
2017-05-17,203.66103803776684
2017-05-18,203.96952105554044
2017-05-19,204.29085597304035
2017-05-20,204.66358293560614
2017-05-21,205.02951319741848
2017-05-22,205.38905942378412
2017-05-23,205.7495390587352
2017-05-24,206.11098028735273
2017-05-25,206.4733600108188
2017-05-26,206.35864635116127
2017-05-27,204.22568984015342
2017-05-28,202.4009444939944
2017-05-29,200.8693953307051
2017-05-30,199.33692721849204
2017-05-31,197.80352699036652
2017-06-01,196.26918641297755
2017-06-02,195.16251533266038
2017-06-03,195.87048746315548
2017-06-04,196.29931722025415
2017-06-05,196.46251017524796
2017-06-06,196.62588359557967
2017-06-07,196.78944556197516
2017-06-08,196.95319919365244
2017-06-09,197.06949577240653
2017-06-10,196.98424792160424
2017-06-11,196.69860441252024
2017-06-12,196.68768573698412
2017-06-13,196.67785530574247
2017-06-14,196.66912839848683
2017-06-15,196.66149738582266
2017-06-16,196.68369979316725
2017-06-17,196.78641035895552
2017-06-18,196.8791450597256
2017-06-19,196.96250461862132
2017-06-20,197.04791134264306
2017-06-21,197.13535894337747
2017-06-22,197.22488618795794
2017-06-23,197.3143077979741
2017-06-24,197.40363605168733
2017-06-25,197.49286646102854
2017-06-26,197.58199900509527
2017-06-27,197.67102607539533
2017-06-28,197.7599629307179
2017-06-29,197.84879431227395
2017-06-30,197.93751393165
2017-07-01,198.02616055597946
2017-07-02,198.1147015457447
2017-07-03,198.20314915830454
2017-07-04,198.4065807136017
