RPIdDate,RPId,TDValve
2017-02-13,,
2017-02-14,,
2017-02-15,,
2017-02-16,0.9653320312499998,178.44496351152927
2017-02-17,0.9653320312499998,178.8382403369591
2017-02-18,0.9653320312499998,174.10605598814877
2017-02-19,0.9653320312499998,169.56663337530034
2017-02-20,0.9653320312499998,167.30400992803553
2017-02-21,0.9653320312499998,166.2949967003364
2017-02-22,0.9653320312499998,168.015313874324
2017-02-23,0.9653320312499998,167.69047238478478
2017-02-24,0.9653320312499998,165.33027610460118
2017-02-25,0.9653320312499998,164.94487948588645
2017-02-26,0.9653320312499998,166.0715953384218
2017-02-27,0.9653320312499998,169.63604709910854
2017-02-28,0.9653320312499998,172.19288081923688
2017-03-01,0.9653320312499998,170.5175749619848
2017-03-02,0.9653320312499998,168.78014828088533
2017-03-03,0.9653320312499998,166.6555685628082
2017-03-04,0.9653320312499998,162.40205075124888
2017-03-05,0.9653320312499998,160.96356645451536
2017-03-06,0.9653320312499998,162.38232087184915
2017-03-07,0.9653320312499998,167.27407718611738
2017-03-08,0.9653320312499998,172.5106083953419
2017-03-09,0.9653320312499998,166.52860860114268
2017-03-10,0.9653320312499998,172.32126101629405
2017-03-11,0.9653320312499998,170.0666209101749
2017-03-12,0.9653320312499998,173.32404439265403
2017-03-13,0.9653320312499998,176.60487671686226
2017-03-14,0.9653320312499998,179.24966556163665
2017-03-15,0.9653320312499998,176.996290463085
2017-03-16,0.9653320312499998,180.06872025313874
2017-03-17,0.9653320312499998,181.447727704688
2017-03-18,0.9653320312499998,181.88811871793996
2017-03-19,0.9653320312499998,183.44689687939174
2017-03-20,0.9653320312499998,185.6078072719767
2017-03-21,0.9653320312499998,182.85201901714532
2017-03-22,0.9653320312499998,171.482399159338
2017-03-23,0.9653320312499998,171.00230299155987
2017-03-24,0.9653320312499998,172.43133588955413
2017-03-25,0.9653320312499998,172.70496860989735
2017-03-26,0.9653320312499998,171.8422147917353
2017-03-27,0.9653320312499998,173.57619871204443
2017-03-28,0.9653320312499998,174.79235351775844
2017-03-29,0.9653320312499998,175.90375182565626
2017-03-30,0.9653320312499998,176.99761283176005
2017-03-31,0.9653320312499998,177.50708766888036
2017-04-01,0.9653320312499998,181.03701004546645
2017-04-02,0.9653320312499998,184.00188209852226
2017-04-03,0.9653320312499998,185.6874192002446
2017-04-04,0.9653320312499998,186.53714888791086
2017-04-05,0.9653320312499998,180.10576006179008
2017-04-06,0.9653320312499998,176.99107840848666
2017-04-07,0.9653320312499998,175.146872065524
2017-04-08,0.9653320312499998,178.70626852288186
2017-04-09,0.9653320312499998,183.43124126425374
2017-04-10,0.9653320312499998,189.00094475807396
2017-04-11,0.9653320312499998,192.64305040177604
2017-04-12,0.9653320312499998,187.6290010496291
2017-04-13,0.9653320312499998,181.24958172648988
2017-04-14,0.9653320312499998,180.8127978207562
2017-04-15,0.9653320312499998,180.15129586887107
2017-04-16,0.9653320312499998,181.6845424685683
2017-04-17,0.9653320312499998,183.34436157280072
2017-04-18,0.9653320312499998,183.27251738415933
2017-04-19,0.9653320312499998,183.90278956434062
2017-04-20,0.9653320312499998,185.03924313778785
2017-04-21,0.9653320312499998,184.9231356633666
2017-04-22,0.9653320312499998,189.2864864132082
2017-04-23,0.9653320312499998,188.60754321865443
2017-04-24,0.9653320312499998,189.78566218874587
2017-04-25,0.9653320312499998,190.26013741574909
2017-04-26,0.9653320312499998,189.19020908417613
2017-04-27,0.9653320312499998,186.27761396434184
2017-04-28,0.9653320312499998,181.9798714246732
2017-04-29,0.9653320312499998,184.05632388598156
2017-04-30,0.9653320312499998,184.509869905123
2017-05-01,0.9653320312499998,188.7124183727396
2017-05-02,0.9653320312499998,191.73828928636598
2017-05-03,0.9653320312499998,192.081963042254
2017-05-04,0.9653320312499998,190.90748234278283
2017-05-05,0.9653320312499998,192.3906879255819
2017-05-06,0.9653320312499998,194.69287473202283
2017-05-07,0.9653320312499998,194.63383308417252
2017-05-08,0.9653320312499998,196.9076684480483
2017-05-09,0.9653320312499998,198.90881716285955
2017-05-10,0.9653320312499998,195.1304036431045
2017-05-11,0.9653320312499998,189.0207613459026
2017-05-12,0.9653320312499998,189.24842292879765
2017-05-13,0.9653320312499998,193.21439109470438
2017-05-14,0.9653320312499998,189.31687340591407
2017-05-15,0.9653320312499998,196.34852450331428
2017-05-16,0.9653320312499998,194.42342375081492
2017-05-17,0.9653320312499998,190.03028507934053
2017-05-18,0.9653320312499998,190.9304045988277
2017-05-19,0.9653320312499998,191.93985952427718
2017-05-20,0.9653320312499998,190.5138898325962
2017-05-21,0.9653320312499998,191.31833681927097
2017-05-22,0.9653320312499998,196.38309451089486
2017-05-23,0.9653320312499998,195.87157006410067
2017-05-24,0.9653320312499998,193.89235086496294
2017-05-25,0.9653320312499998,194.36124507884418
2017-05-26,0.9653320312499998,198.00954936446635
2017-05-27,0.9653320312499998,199.58480730209908
2017-05-28,0.9653320312499998,199.3502269215893
2017-05-29,0.9653320312499998,201.61978787664714
2017-05-30,0.9653320312499998,204.30202057616705
2017-05-31,0.9653320312499998,199.9663989831237
2017-06-01,0.9653320312499998,194.6895007526524
2017-06-02,0.9653320312499998,193.28402707552212
2017-06-03,0.9653320312499998,187.45146649813623
2017-06-04,0.9653320312499998,191.5918838618435
2017-06-05,0.9653320312499998,187.14018528569989
2017-06-06,0.9653320312499998,190.47416983665693
2017-06-07,0.9653320312499998,202.27071641817562
2017-06-08,0.9653320312499998,199.73487603196327
2017-06-09,0.9653320312499998,191.93742277554222
2017-06-10,0.9653320312499998,191.12276330385123
