,Date,Id,CPId,Vibration3H
0,2017-02-13,846.0,2.0,230.0
1,2017-02-14,847.0,2.0,220.0
2,2017-02-15,848.0,2.0,210.0
3,2017-02-16,849.0,2.0,200.0
4,2017-02-17,850.0,2.0,190.0
5,2017-02-18,851.0,2.0,180.35293579101562
6,2017-02-19,852.0,2.0,179.8235321044922
7,2017-02-20,853.0,2.0,179.2941131591797
8,2017-02-21,854.0,2.0,178.76470947265625
9,2017-02-22,855.0,2.0,178.23529052734375
10,2017-02-23,856.0,2.0,177.7058868408203
11,2017-02-24,857.0,2.0,177.1764678955078
12,2017-02-25,858.0,2.0,176.64706420898438
13,2017-02-26,859.0,2.0,176.11764526367188
14,2017-02-27,860.0,2.0,175.58824157714844
15,2017-02-28,861.0,2.0,175.05882263183594
16,2017-03-01,862.0,2.0,174.5294189453125
17,2017-03-02,863.0,2.0,174.0
18,2017-03-03,864.0,2.0,175.0
19,2017-03-04,865.0,2.0,176.0
20,2017-03-05,866.0,2.0,177.0
21,2017-03-06,867.0,2.0,178.0
22,2017-03-07,868.0,2.0,179.0
23,2017-03-08,869.0,2.0,180.0
24,2017-03-09,870.0,2.0,181.0
25,2017-03-10,871.0,2.0,182.14285278320312
26,2017-03-11,872.0,2.0,183.2857208251953
27,2017-03-12,873.0,2.0,184.42857360839844
28,2017-03-13,874.0,2.0,185.57142639160156
29,2017-03-14,875.0,2.0,186.7142791748047
30,2017-03-15,876.0,2.0,187.85714721679688
31,2017-03-16,877.0,2.0,189.0
32,2017-03-17,878.0,2.0,187.57142639160156
33,2017-03-18,879.0,2.0,186.14285278320312
34,2017-03-19,880.0,2.0,184.7142791748047
35,2017-03-20,881.0,2.0,183.2857208251953
36,2017-03-21,882.0,2.0,181.85714721679688
37,2017-03-22,883.0,2.0,180.42857360839844
38,2017-03-23,884.0,2.0,179.0
39,2017-03-24,885.0,2.0,180.2857208251953
40,2017-03-25,886.0,2.0,181.57142639160156
41,2017-03-26,887.0,2.0,182.85714721679688
42,2017-03-27,888.0,2.0,184.14285278320312
43,2017-03-28,889.0,2.0,185.42857360839844
44,2017-03-29,890.0,2.0,186.7142791748047
45,2017-03-30,891.0,2.0,188.0
46,2017-03-31,892.0,2.0,186.85714721679688
47,2017-04-01,893.0,2.0,185.7142791748047
48,2017-04-02,894.0,2.0,184.57142639160156
49,2017-04-03,895.0,2.0,183.42857360839844
50,2017-04-04,896.0,2.0,182.2857208251953
51,2017-04-05,897.0,2.0,181.14285278320312
