TD1Date,TD1,TD2,DT1,DT2,PR1,PR2
2016-06-22,,,,,,
2016-06-23,,,,,,
2016-06-24,,,,,,
2016-06-25,178.02353711892798,117.0735475874491,157.53456933528278,97.27149184416041,197.80035198724434,135.11296434427425
2016-06-26,175.5770808298493,116.83399794673011,157.83437475371298,97.28358359715011,194.7706186574428,135.0124473728665
2016-06-27,173.20822326200172,116.59372470227467,156.5155757255508,97.29538539643004,193.21102256358787,135.6637390794399
2016-06-28,171.47856173098288,116.35273022080055,155.62614508235944,97.30689603208475,192.29143403579852,136.3929186127926
2016-06-29,168.8722542032011,116.11101062634171,154.4945662052558,97.31810854849059,190.99765587835947,137.6068855831597
2016-06-30,169.04728876469252,115.8689623965844,154.81970830217296,97.32915324894881,192.19320705826695,138.73485285619907
2016-07-01,169.8912097575573,115.62658300233201,154.98921259849348,97.34003846182749,196.1563069815493,138.29906158819202
2016-07-02,168.32865630532046,115.52673997696641,155.54749255877746,97.31504977444288,194.06989941387397,139.81664869383607
2016-07-03,165.6348307852402,115.18845702550823,156.0007055561462,97.05179783253993,197.02853053669992,138.779735366674
2016-07-04,169.03461056750578,114.84984261060374,156.52640299463974,96.7883755315578,197.66949548526784,138.1059618758955
2016-07-05,168.4185218511326,114.51090332776423,155.3198749131573,96.52479628612768,197.28207809357144,137.47417438441593
2016-07-06,167.55303557316677,114.17162523710016,154.1415587949457,96.26105379310356,196.95971442929041,136.31968592760768
2016-07-07,168.2003612902303,113.83175757887716,154.9874431678169,95.99727665622251,195.97941258170283,137.1298789704073
2016-07-08,166.45905201030843,113.49130036703012,153.90406983872828,95.7334596194251,193.17554431926078,138.68999341228766
2016-07-09,167.25910568713894,113.15025105842766,153.63390356269244,95.46961864744138,191.63826242185013,139.52457945771565
2016-07-10,164.5015412950407,113.10896633945713,151.99222868813433,95.34070408962299,191.03767782895318,140.08014266523335
2016-07-11,166.43295849113315,115.29559365736436,149.17378015735724,95.51929854638352,192.17882916904333,139.63108716129597
2016-07-12,164.81359036003852,117.26926843839937,145.93185208588832,95.68047800960447,193.18511333656744,139.05144471375468
2016-07-13,164.02726671169037,118.96438698516184,142.81400278801755,95.80140856581335,194.39349831221062,138.99351873086147
2016-07-14,166.99023093966534,120.66059512095899,145.21789662760136,95.9226732650414,196.27849346997135,138.35712755244361
2016-07-15,172.77546762099345,122.35789036672956,156.18658667666224,96.04428875275714,194.3282834304248,138.01545021531223
2016-07-16,167.82927549422834,124.0562708196063,151.55375410363933,96.16623838349203,193.24902476059407,139.0325783900668
2016-07-17,171.7696544929709,125.9462383252743,152.97852606184344,96.62187213604795,196.06288179867073,138.78575528621937
2016-07-18,174.0738454936833,128.19971651061212,153.316749267871,98.08809113269888,197.18064814968258,138.39099696063954
2016-07-19,173.90243628330975,130.41962736198872,153.3845396612015,99.4958303491356,197.95844597967675,137.18644915596389
2016-07-20,178.22878129057906,132.59532035391544,154.0013791368597,100.76988818089355,198.866099362757,136.37239336468357
2016-07-21,179.20834531136538,134.77133491614413,155.5698145802601,102.04428847840492,196.65583886291674,136.87298410679853
2016-07-22,178.7307174567877,136.94764067317195,155.38223397332322,103.31903124166972,197.98941094257813,138.09369653634687
2016-07-23,179.8790859880941,139.12425316103088,153.43821003909088,104.59411647068792,195.07678482465369,138.12391966830543
2016-07-24,181.26925457276533,140.36308283464058,153.88599865917044,105.09335245403379,192.7571428880069,138.07764982148103
2016-07-25,183.30324599162728,136.70945456842472,153.71055681515486,102.73056731609529,193.17870021661327,137.65379180372685
2016-07-26,184.50679612890812,133.52393140066673,153.30591580015405,100.53478432287865,194.48530542945787,137.18849419952247
2016-07-27,187.86650860131041,130.95059472049516,153.45478040484676,98.71907751759575,195.99262013617263,136.6934974506713
2016-07-28,183.1936474469202,128.3783592803078,153.1647240748711,96.90371250864132,196.11378208561186,135.86053749178515
2016-07-29,173.27839640523467,125.80720022442499,153.042976302634,95.08869370154001,194.13263214318917,137.70227517220667
2016-07-30,172.99523122586277,123.14692276973827,153.7618862247989,93.32101579326925,192.62607020374398,138.7336266678001
2016-07-31,169.73473355473467,121.67820982874562,154.99258033386707,92.1251023129141,193.23007934646682,139.20398730820133
2016-08-01,171.3021093434724,124.7409256687192,154.24511890401044,92.95002129574843,192.65777962594512,139.21548251918793
2016-08-02,173.585076793862,127.37159983955763,153.90771058071203,93.65764639402516,193.19415201878294,139.0825744366006
2016-08-03,175.45587049637737,129.5649169782912,153.34406079192445,94.34953519685023,192.79351523829905,138.14381089630123
2016-08-04,177.3450110483182,131.75896398319608,153.28279896878772,95.0420200720018,192.88179267966694,138.41592913006812
2016-08-05,179.18735462058856,133.95378115908977,153.91499900840162,95.73507997545425,193.19052254605964,139.6997841568375
2016-08-06,181.18871877152907,136.14932462414006,154.6510787737071,96.42872883974806,192.9812077199732,140.18529816864475
2016-08-07,182.08825769376068,137.5837402806764,155.08773348286087,96.98010556457967,193.88793573303047,141.17629638591563
2016-08-08,183.71240323274267,136.11947558994117,155.1895617057106,97.02695144843521,193.3187856919371,140.76711996446372
2016-08-09,184.30151794002003,134.93317227921935,154.91140150889103,97.10379529889579,195.01490358022423,140.05267631936263
2016-08-10,186.76237527761523,133.65442664632553,154.49384741939457,96.9387110641849,193.9821137219379,138.71014982126636
2016-08-11,186.11082295055357,132.37369652082063,154.5404425431498,96.77239066209428,193.858717369288,138.2894973706065
2016-08-12,179.54258980792147,131.09097684431148,153.57316361306468,96.60482762664896,194.74445964835036,138.5709100336159
2016-08-13,176.39829886354934,129.8062676028632,153.05264804362923,96.43603097392291,194.87213663403844,139.0643402372053
2016-08-14,174.65755366668193,129.94814749810465,153.22442970252573,96.64694006547752,193.82251692021305,140.841615942595
2016-08-15,179.3119708474758,135.52443902034454,153.44459330544885,98.20360501133949,188.82053538400334,145.05557538066955
2016-08-16,184.35419195826674,140.57896648417068,153.7063042450706,99.68060909305045,187.81668444665954,146.9971481518637
2016-08-17,188.25108940194525,144.95165068150743,153.82138123051763,100.97767072682484,183.70969707864992,150.54386450717627
2016-08-18,192.1440198175645,149.34268387096083,154.60907397195544,102.28653672703759,184.58233850646113,149.26813397863066
2016-08-19,188.03620460557352,153.73235336495634,154.93492061231413,103.5944970449609,192.3911403548094,140.56754785681454
2016-08-20,183.74501561353296,158.12062668538724,153.89520346503187,104.90154914443075,194.61916347730266,140.2775678942002
2016-08-21,184.08749961328795,160.93611500502178,153.77369949804793,105.73150181568018,195.06090442277224,138.35489846874015
2016-08-22,184.85139002593556,157.7701715756215,153.70656167029958,104.87680042115502,194.64265475360014,138.92591399141747
2016-08-23,183.92298573583523,155.17458527855038,152.9061841079646,104.11923116669129,193.5398163414264,139.9250262974096
2016-08-24,182.41630993546826,153.32548371097872,153.03416190740558,103.58412269364604,191.9695471854005,141.0541155594852
2016-08-25,180.9776195988335,151.47501393868632,153.08804716483888,103.04810277565589,191.45862616275787,140.94066930295034
2016-08-26,184.24905468926974,149.62315065153084,153.07704617567677,102.51118091844346,190.7295416628839,142.48983230550735
