Date,TD1,TD2,DT1,DT2,PR1,PR2
22/06/2016,189.7656667,129,159.44029,99,201.5223301,134.2319625
23/06/2016,185.6671033,128.5294118,159.3787866,98.88235294,200.1959223,135.8467288
24/06/2016,182.360085,128.0588235,157.9255738,98.76470588,199.6818932,136.088474
25/06/2016,183.509865,127.5882353,158.575305,98.64705882,194.568932,134.8188677
26/06/2016,181.3063725,127.1176471,157.6877006,98.52941176,193.9814927,135.7004562
27/06/2016,179.10288,126.6470588,156.8000963,98.41176471,193.3940534,136.5820448
28/06/2016,176.8993875,126.1764706,155.9124919,98.29411765,192.8066141,137.4636333
29/06/2016,174.695895,125.7058824,155.0248875,98.17647059,192.2191748,138.3452218
30/06/2016,176.24652,125.2352941,155.9318171,98.05882353,198.4634397,137.216845
1/7/2016,176.41393,124.7647059,155.326678,97.94117647,196.6085825,137.9702434
2/7/2016,172.059205,124.2941176,155.19418,97.82352941,198.5207767,137.028014
3/7/2016,173.2744931,123.8235294,155.15627,97.70588235,198.5018811,136.902417
4/7/2016,174.4897813,123.3529412,155.11836,97.58823529,198.4829855,136.77682
5/7/2016,175.7050694,122.8823529,155.08045,97.47058824,198.4640898,136.651223
6/7/2016,176.9203575,122.4117647,155.04254,97.35294118,198.4451942,136.525626
7/7/2016,175.097795,121.9411765,154.72946,97.23529412,194.8501456,137.0603324
8/7/2016,178.5898175,121.4705882,155.7217113,97.11764706,191.7904369,138.4137609
9/7/2016,175.93694,121,155.0734633,97,194.7165048,138.3688011
10/7/2016,175.0948492,122.2857143,152.3891767,97.14285714,194.5038349,138.7009655
11/7/2016,174.2527584,123.5714286,149.70489,97.28571429,194.291165,139.0331299
12/7/2016,173.4106675,124.8571429,147.0206034,97.42857143,194.0784951,139.3652943
13/07/2016,172.5685767,126.1428571,144.3363167,97.57142857,193.8658252,139.6974587
14/07/2016,182.127184,127.4285714,158.044526,97.71428571,197.447068,137.9096317
15/07/2016,175.7212638,128.7142857,153.9644126,97.85714286,188.808568,140.1167811
16/07/2016,177.294295,130,153.9055275,98,195.0406311,139.6841136
17/07/2016,179.1095,131.5714286,154.3381044,99,195.8497937,138.8927499
18/07/2016,180.924705,133.1428571,154.7706813,100,196.6589564,138.1013862
19/07/2016,182.73991,134.7142857,155.2032581,101,197.468119,137.3100225
20/07/2016,184.555115,136.2857143,155.635835,102,198.2772816,136.5186588
21/07/2016,184.459124,137.8571429,157.143156,103,198.1139417,137.8978734
22/07/2016,184.61459,139.4285714,155.285454,104,195.5355728,138.5542144
23/07/2016,185.90234,141,155.2418772,105,195.8039534,138.063327
24/07/2016,187.19009,138.7142857,155.1983004,103.5714286,196.072334,137.5724395
25/07/2016,188.47784,136.4285714,155.1547236,102.1428571,196.3407145,137.0815521
26/07/2016,189.76559,134.1428571,155.1111468,100.7142857,196.6090951,136.5906646
27/07/2016,191.05334,131.8571429,155.06757,99.28571429,196.8774757,136.0997772
28/07/2016,177.59168,129.5714286,154.65929,97.85714286,193.2841748,138.1915405
29/07/2016,177.3081771,127.2857143,154.68088,96.42857143,191.1968655,139.5407236
30/07/2016,177.512185,125,156.605525,95,193.7149515,139.8446521
31/07/2016,178.6528813,126.2857143,156.0756171,95.28571429,193.2924272,139.5013278
1/8/2016,179.7935775,127.5714286,155.5457092,95.57142857,192.869903,139.1580035
2/8/2016,180.9342738,128.8571429,155.0158012,95.85714286,192.4473787,138.8146791
3/8/2016,182.07497,130.1428571,154.4858933,96.14285714,192.0248544,138.4713548
4/8/2016,181.6630025,131.4285714,154.8685788,96.42857143,193.5767476,139.9489327
5/8/2016,182.78816,132.7142857,155.4304911,96.71428571,191.9752751,139.820763
6/8/2016,181.67847,134,155.78012,97,194.7646602,141.4422484
7/8/2016,183.2080692,133,155.6332267,96.85714286,194.1557282,140.7768233
8/8/2016,184.7376684,132,155.4863334,96.71428571,193.5467962,140.1113982
9/8/2016,186.2672675,131,155.33944,96.57142857,192.9378641,139.445973
10/8/2016,187.7968667,130,155.1925467,96.42857143,192.3289321,138.7805479
11/8/2016,182.08675,129,154.8274433,96.28571429,194.4958252,139.1915967
12/8/2016,179.3906875,128,154.2171375,96.14285714,194.4112136,139.2607402
13/08/2016,176.36387,127,154.451215,96,194.1643689,140.1260967
14/08/2016,180.842995,130.2857143,154.544945,97,191.1559223,142.9339215
15/08/2016,185.32212,133.5714286,154.638675,98,188.1474757,145.7417463
16/08/2016,189.801245,136.8571429,154.732405,99,185.1390291,148.5495711
17/08/2016,194.28037,140.1428571,154.826135,100,182.1305825,151.3573959
18/08/2016,191.5288575,143.4285714,155.34876,101,194.2267718,138.407974
19/08/2016,184.20179,146.7142857,154.302035,102,195.2003883,140.1702209
20/08/2016,183.2713683,150,154.07303,103,193.7812621,138.711574
21/08/2016,183.4598076,148.5714286,154.0835635,102.5714286,193.2830485,139.2314507
22/08/2016,183.648247,147.1428571,154.094097,102.1428571,192.7848349,139.7513274
23/08/2016,183.8366863,145.7142857,154.1046305,101.7142857,192.2866214,140.271204
24/08/2016,184.0251257,144.2857143,154.115164,101.2857143,191.7884078,140.7910807
25/08/2016,184.213565,142.8571429,154.1256975,100.8571429,191.2901942,141.3109574
26/08/2016,188.289555,141.4285714,154.1253717,100.4285714,193.1351457,140.4460481
27/08/2016,186.90571,140,153.74719,100,193.8382524,139.9385635
28/08/2016,188.0474365,140.2857143,154.4145135,100.0714286,192.8685146,140.2254202
29/08/2016,189.189163,140.5714286,155.081837,100.1428571,191.8987767,140.512277
30/08/2016,190.3308895,140.8571429,155.7491605,100.2142857,190.9290389,140.7991337
31/08/2016,191.472616,141.1428571,156.416484,100.2857143,189.959301,141.0859904
1/9/2016,190.4880175,141.4285714,156.8803175,100.3571429,194.1693204,140.126161
2/9/2016,189.637835,141.7142857,156.1417775,100.4285714,194.3416748,139.3874166
3/9/2016,181.90371,142,156.3218775,100.5,188.1764563,141.4517721
4/9/2016,184.20952,142.2857143,156.2280665,100.5714286,189.7325607,140.7743253
5/9/2016,186.51533,142.5714286,156.1342554,100.6428571,191.2886651,140.0968785
6/9/2016,188.82114,142.8571429,156.0404444,100.7142857,192.8447694,139.4194318
7/9/2016,191.12695,143.1428571,155.9466333,100.7857143,194.4008738,138.741985
8/9/2016,189.8822175,143.4285714,156.2794275,100.8571429,191.764733,139.936812
9/9/2016,189.292018,143.7142857,155.849204,100.9285714,194.9607961,138.1187764
10/9/2016,188.9333967,144,156.4357234,101,188.2743689,138.8712816
11/9/2016,191.1262155,144.2857143,156.701943,101.0714286,189.9543204,138.790717
12/9/2016,193.3190342,144.5714286,156.9681626,101.1428571,191.6342719,138.7101524
13/09/2016,195.511853,144.8571429,157.2343821,101.2142857,193.3142233,138.6295877
14/09/2016,197.7046717,145.1428571,157.5006017,101.2857143,194.9941748,138.5490231
15/09/2016,191.6513767,145.4285714,157.0518611,101.3571429,190.7517152,139.4598071
16/09/2016,187.968816,145.7142857,155.580284,101.4285714,193.102835,139.1190227
17/09/2016,184.66111,146,155.376725,101.5,191.5776699,140.7885215
18/09/2016,187.5156763,146.2857143,155.8441425,101.5714286,192.1016505,140.5489478
19/09/2016,190.3702425,146.5714286,156.31156,101.6428571,192.625631,140.3093742
20/09/2016,193.2248088,146.8571429,156.7789775,101.7142857,193.1496116,140.0698005
21/09/2016,196.079375,147.1428571,157.246395,101.7857143,193.6735922,139.8302268
22/09/2016,190.2786411,147.4285714,157.0331,101.8571429,189.170809,140.2055094
23/09/2016,189.9384078,147.7142857,156.2747678,101.9285714,193.2788349,139.6461607
24/09/2016,192.2296175,148,155.7261325,102,192.4249515,139.6367869
25/09/2016,191.326425,147.7142857,155.4635863,101.4285714,192.3554854,139.4877014
26/09/2016,188.998172,147.4285714,155.664692,100.8571429,191.0090097,140.1406166
27/09/2016,192.4528978,147.1428571,155.7059522,100.2857143,191.4165696,139.1562515
28/09/2016,192.2281413,146.8571429,156.1268063,99.71428571,191.4207524,140.2494822
29/09/2016,190.3967425,146.5714286,155.682455,99.14285714,192.3151456,140.976242
30/09/2016,190.7360875,146.2857143,156.0421613,98.57142857,191.6771359,140.4805981
1/10/2016,193.4274783,146,155.47945,98,192.7715534,141.3293163
2/10/2016,193.7518512,145.2857143,156.2100642,98.42857143,192.4874029,141.1423321
3/10/2016,194.0762242,144.5714286,156.9406784,98.85714286,192.2032524,140.9553479
4/10/2016,194.4005971,143.8571429,157.6712925,99.28571429,191.9191019,140.7683637
5/10/2016,194.72497,143.1428571,158.4019067,99.71428571,191.6349514,140.5813795
6/10/2016,197.7698686,142.4285714,159.1975415,100.1428571,191.9300971,140.5506729
7/10/2016,190.170026,141.7142857,155.13784,100.5714286,191.5720777,141.635727
8/10/2016,186.680955,141,154.558205,101,190.9636893,142.9177814
9/10/2016,185.5770604,141.2857143,152.3626021,100.8571429,190.8316019,142.808879
10/10/2016,184.4731659,141.5714286,150.1669992,100.7142857,190.6995146,142.6999766
11/10/2016,183.3692713,141.8571429,147.9713963,100.5714286,190.5674272,142.5910741
12/10/2016,182.2653767,142.1428571,145.7757934,100.4285714,190.4353398,142.4821717
13/10/2016,191.212335,142.4285714,154.72897,100.2857143,189.9001942,140.662852
14/10/2016,199.34665,142.7142857,157.19406,100.1428571,193.5982524,140.6475325
15/10/2016,188.04812,143,153.5980067,100,192.1642718,140.9681846
16/10/2016,188.6536781,142.7142857,153.5325744,99.85714286,192.1004126,140.7672001
17/10/2016,189.2592363,142.4285714,153.4671421,99.71428571,192.0365534,140.5662157
18/10/2016,189.8647944,142.1428571,153.4017098,99.57142857,191.9726942,140.3652312
19/10/2016,190.4703525,141.8571429,153.3362775,99.42857143,191.908835,140.1642467
20/10/2016,190.0354286,141.5714286,154.6399357,99.28571429,191.6292649,141.0500511
21/10/2016,189.7335238,141.2857143,154.5159926,99.14285714,190.5674272,142.2399227
22/10/2016,189.52228,141,154.43357,99,192.527767,143.4181225
23/10/2016,190.2410706,141,154.2967738,98.94444444,192.3571238,142.6865046
24/10/2016,190.9598613,141,154.1599775,98.88888889,192.1864806,141.9548868
25/10/2016,191.6786519,141,154.0231813,98.83333333,192.0158374,141.2232689
26/10/2016,192.3974425,141,153.886385,98.77777778,191.8451942,140.491651
27/10/2016,189.412345,141,154.2886217,98.72222222,186.8427185,144.499709
28/10/2016,191.6863783,141,155.0603733,98.66666667,187.8683495,143.2081648
29/10/2016,187.5946867,141,152.96791,98.61111111,188.3384466,142.3756345
30/10/2016,188.6086722,141,153.5048136,98.55555556,188.8212899,142.4841195
31/10/2016,189.6226576,141,154.0417171,98.5,189.3041331,142.5926046
1/11/2016,190.6366431,141,154.5786207,98.44444444,189.7869764,142.7010896
2/11/2016,191.6506286,141,155.1155243,98.38888889,190.2698197,142.8095746
3/11/2016,192.6646141,141,155.6524279,98.33333333,190.752663,142.9180596
4/11/2016,193.6785995,141,156.1893314,98.27777778,191.2355062,143.0265447
5/11/2016,194.692585,141,156.726235,98.22222222,191.7183495,143.1350297
6/11/2016,195.189195,141,155.72089,98.16666667,191.6084466,141.517871
7/11/2016,192.4666333,141,155.52198,98.11111111,191.5434951,142.3752267
8/11/2016,194.0006533,141,155.2344166,98.05555556,190.9270874,142.5229425
9/11/2016,187.1903267,141,153.6235234,98,189.7495146,143.8950174
10/11/2016,193.0152728,141.7142857,156.1517006,98.14285714,191.0935599,142.7402915
11/11/2016,198.8402189,142.4285714,158.6798778,98.28571429,192.4376052,141.5855656
12/11/2016,204.665165,143.1428571,161.208055,98.42857143,193.7816505,140.4308397
13/11/2016,195.6387067,143.8571429,159.2819467,98.57142857,193.1763107,140.8665106
14/11/2016,199.074545,144.5714286,157.15906,98.71428571,191.432767,138.9381554
15/11/2016,195.5489729,145.2857143,155.5552158,98.85714286,191.7085714,140.1771196
16/11/2016,193.93293,146,155.80562,99,192.918932,141.2825449
17/11/2016,197.2885333,146.1428571,156.3336467,98.85714286,192.2809708,140.7606848
18/11/2016,200.6441367,146.2857143,156.8616733,98.71428571,191.6430097,140.2388248
19/11/2016,203.99974,146.4285714,157.3897,98.57142857,191.0050485,139.7169647
20/11/2016,191.6598775,146.5714286,154.5856725,98.42857143,183.4341262,142.2772335
21/11/2016,198.442534,146.7142857,156.692472,98.28571429,192.8098835,140.7226133
22/11/2016,197.367244,146.8571429,156.32776,98.14285714,191.9859029,138.8176559
23/11/2016,193.0457,147,155.68131,98,193.5250485,140.4653972
24/11/2016,194.3896367,146.2857143,155.1319067,98,193.2681553,140.8180291
25/11/2016,195.7335733,145.5714286,154.5825033,98,193.0112621,141.170661
26/11/2016,197.07751,144.8571429,154.0331,98,192.7543689,141.5232929
27/11/2016,194.5865833,144.1428571,156.9146733,98,193.1157281,141.09277
28/11/2016,195.102442,143.4285714,155.703166,98,191.7636117,141.5712063
29/11/2016,195.8063929,142.7142857,155.3959372,98,191.9320943,139.8253283
30/11/2016,190.997395,142,154.578805,98,190.4181553,142.1592336
1/12/2016,194.5604111,142.4285714,155.3005044,98.14285714,190.9286084,141.7320586
2/12/2016,198.1234272,142.8571429,156.0222039,98.28571429,191.4390614,141.3048836
3/12/2016,201.6864433,143.2857143,156.7439033,98.42857143,191.9495145,140.8777086
4/12/2016,196.031676,143.7142857,155.521786,98.57142857,192.0586019,141.2757817
5/12/2016,194.73822,144.1428571,155.084255,98.71428571,191.4132524,141.2753705
6/12/2016,191.9759067,144.5714286,154.912825,98.85714286,192.2237864,140.491766
7/12/2016,190.57438,145,153.6954867,99,190.0215534,141.0934988
