Date,TD1,TD2,DT1,DT2,PR1,PR2
26/08/2016,191.5868983,132.0348962,150.1569532,100.1071328,188.9246621,143.3872715
27/08/2016,191.4016643,132.6906465,150.3311855,100.9201,189.9585586,143.4108586
28/08/2016,191.2156785,134.1757883,150.5049857,101.0616437,189.69513,143.2777742
29/08/2016,191.0289401,136.0728723,150.6783562,100.8917363,189.5077524,143.3868278
30/08/2016,190.8414482,137.7019989,150.8512994,100.8589865,188.8937432,143.0737577
31/08/2016,190.6532022,137.9280487,151.0238174,101.3066979,188.3394037,142.9784182
01/09/2016,190.464201,138.7204352,151.1959126,103.0890079,189.2671672,143.1449042
02/09/2016,190.2746313,135.1063846,151.3676552,100.5328544,190.4159409,142.1851235
03/09/2016,190.0130635,134.2964446,151.2533332,100.8314775,190.5111101,142.8161565
04/09/2016,189.7509257,137.472324,151.1386628,102.7646179,189.1962338,143.8018233
05/09/2016,189.4882169,139.2506899,151.0236464,103.696637,187.9638684,144.829091
06/09/2016,189.2249364,142.4072873,150.9082858,105.3234879,186.8907484,145.9354384
07/09/2016,188.9610835,145.0141561,150.7925833,107.0052677,183.7576321,148.0359014
08/09/2016,188.6966575,137.8332051,150.6765406,100.1831927,188.7824926,142.4812489
09/09/2016,188.4316577,135.9874641,150.5601598,101.8285564,190.5619448,142.8011273
10/09/2016,188.1660832,135.6497095,150.7291572,102.67845,188.8406822,142.9412438
11/09/2016,187.8999336,135.2487937,150.8978203,102.3542956,189.6701111,142.5505462
12/09/2016,187.633208,136.5737111,151.066151,102.1670046,189.7217167,142.7283284
13/09/2016,187.3659059,137.9055764,151.2341511,101.9868284,189.7731254,142.9075344
14/09/2016,187.1001215,139.2339441,151.401949,101.8065042,189.8226497,143.0867679
15/09/2016,186.8358543,137.6379711,151.5695466,100.8870629,189.2396979,143.7961453
16/09/2016,186.5723697,138.0609568,151.7367498,101.8757469,188.8861297,143.9847832
17/09/2016,186.9525243,136.3822524,151.974989,101.7996635,189.2115592,143.0489265
18/09/2016,187.3334602,138.1048102,152.2128372,101.7936955,187.979615,144.503691
19/09/2016,187.7151769,139.9986987,152.4502962,102.0385931,189.23254,143.2081611
20/09/2016,188.0976737,137.7315189,152.6873674,101.1111938,188.9641257,142.949812
21/09/2016,188.4811458,137.7885425,152.9252268,101.1418719,188.3131893,142.9583726
22/09/2016,188.8655923,137.4288248,153.1638759,101.6309807,188.6635049,143.1383879
23/09/2016,188.9881924,138.7088449,153.1597264,102.1099764,188.7846125,142.6130883
24/09/2016,188.611766,135.6784222,152.9420839,101.1632682,186.8726008,143.9419296
25/09/2016,188.2363123,137.4434505,152.7252357,103.0479409,187.4041223,143.6187189
26/09/2016,187.861831,141.452636,152.5091832,105.5560044,189.1762892,143.9731729
27/09/2016,187.4883214,139.3056853,152.2939277,103.6865442,188.4117201,143.7265502
28/09/2016,187.1122604,141.3786793,152.0777096,103.9494953,189.143483,143.0287866
29/09/2016,186.7336475,142.3653914,151.8605301,104.4630213,188.4767835,142.9552694
30/09/2016,186.3524822,143.2951114,151.6423908,104.1300783,189.7529191,141.8780698
01/10/2016,186.3973353,142.6069379,151.4947214,104.294348,187.2045989,142.800752
02/10/2016,186.4396349,143.9761109,151.3460947,104.2804608,186.5798073,143.0462242
03/10/2016,186.4793806,143.1212155,151.1965121,103.9530363,188.2566293,143.4724791
04/10/2016,186.5165717,139.5615401,151.0459747,102.9855757,187.2679466,142.6773899
05/10/2016,186.554926,142.7325434,150.8952668,104.0654627,188.6782809,143.2148327
06/10/2016,186.5944428,143.6215938,150.7443893,105.0512232,187.6985313,143.470443
07/10/2016,186.6351219,144.8578678,150.5933437,105.4692865,188.9121006,143.3107981
08/10/2016,186.6055341,139.2362151,150.7278454,102.1753719,188.3694572,143.3643734
09/10/2016,186.5771076,143.007167,150.8621812,102.3343651,188.0062642,143.2810528
10/10/2016,186.5498417,143.5557636,150.9963524,104.5357223,188.6495389,143.5343175
11/10/2016,186.5237361,142.4708583,151.13036,102.80208,187.6495294,144.6590645
12/10/2016,186.4954634,140.0976747,151.2640094,101.4935146,188.2055487,143.0082938
13/10/2016,186.4650234,138.5728853,151.3973018,101.9426507,186.5999332,143.4703828
14/10/2016,186.4328711,139.0070051,151.5302641,102.4281737,187.8621208,143.6222703
15/10/2016,185.3990063,139.9016956,150.9486114,102.4845182,187.4674,143.9581755
16/10/2016,184.3634285,139.6324931,150.3666307,102.5137247,187.3369483,144.2463878
17/10/2016,183.4868514,140.3517034,149.9331324,103.0506718,187.3441442,144.1183289
18/10/2016,182.6085604,142.5299785,149.499308,103.1428746,187.9370699,143.4466589
19/10/2016,181.7336433,145.8550186,149.0659413,105.2159517,188.2935508,143.7484398
20/10/2016,180.8620995,144.5364066,148.6330334,104.1087297,188.3163258,144.210204
21/10/2016,179.9939285,141.6964411,148.200585,102.5918179,188.5012042,143.2805457
22/10/2016,186.9148444,144.9112225,152.6971686,103.8531734,187.8089695,144.1633802
23/10/2016,186.1852863,146.3179419,152.3095982,104.3733115,186.9922617,144.6851528
24/10/2016,185.4590999,145.3414685,151.9224904,104.037278,184.7306497,144.631759
25/10/2016,184.7362848,148.4226402,151.5358457,105.3053748,184.6393385,145.3466546
26/10/2016,184.0115569,151.8653398,151.1486867,108.4064309,188.5493675,144.665881
27/10/2016,183.2849159,148.9335111,150.7610144,107.2567316,188.2071904,143.9862127
28/10/2016,182.5563613,143.8855968,150.3728294,103.8972674,187.037852,144.2612649
29/10/2016,181.8258927,144.6103545,149.9841327,104.3175217,187.5884213,144.8289763
30/10/2016,181.0935099,144.4186665,149.5949249,103.3565843,187.535903,144.7381502
31/10/2016,180.3592125,143.7457371,149.2052071,102.7571932,186.0427167,146.1838273
01/11/2016,179.623,146.6033849,148.8149799,101.9176658,185.2073406,144.5212432
02/11/2016,178.886976,143.3873408,148.4246845,100.5803368,188.2525732,144.1215208
03/11/2016,178.15114,147.6106772,148.0343216,102.3896707,187.7864888,143.5312776
04/11/2016,177.4154916,149.8685321,147.6438919,103.2743248,188.4650247,143.3775794
05/11/2016,177.4053053,142.1295208,147.6380116,101.8938064,186.9686367,143.9308491
06/11/2016,177.3953061,140.5826075,147.632066,101.725339,187.2533608,144.8364231
07/11/2016,177.3854936,145.2417599,147.6260559,102.3497083,187.4296964,144.2804915
08/11/2016,177.3758674,141.7942152,147.6199819,100.5595221,186.3322872,144.0139097
09/11/2016,177.3664273,142.0838886,147.6138447,100.1506807,186.1883064,143.7016375
10/11/2016,177.3571729,142.6187278,147.6076451,101.3043399,188.1771956,142.950243
11/11/2016,177.348104,145.3608825,147.6013836,104.5903857,188.5145227,143.6364678
12/11/2016,177.1177916,145.6006699,147.595061,103.7584574,189.4944339,144.1751176
13/11/2016,176.887664,142.4926294,147.5886778,102.140476,184.9364131,143.928877
14/11/2016,176.7982887,143.7939057,147.6000919,103.2387113,188.2650118,143.4322809
15/11/2016,176.7090977,144.1411978,147.6114468,105.2672565,189.9842897,143.003851
16/11/2016,176.6200906,146.1952222,147.622743,105.7052755,189.9671375,142.8095513
17/11/2016,176.5312671,144.4190635,147.6339811,104.3011555,187.8490089,144.1716265
18/11/2016,176.4426271,147.0405123,147.6451618,103.7634626,188.0175292,143.156529
19/11/2016,176.3541701,143.0033273,147.6562856,102.1107728,188.0385935,143.6215736
20/11/2016,176.2658959,142.9213452,147.6673531,102.0748923,188.4975129,143.1158334
21/11/2016,176.1780702,144.3787432,147.678437,104.0501666,188.6178304,143.9662166
22/11/2016,176.0978354,144.6323424,147.6895377,104.0119838,188.812497,143.7665936
23/11/2016,176.0180485,146.9171483,147.700656,104.6695879,189.145335,143.7115058
24/11/2016,175.9387093,146.7353743,147.7117922,104.1985853,188.983965,143.2015659
25/11/2016,175.8598174,147.190804,147.7229469,105.1490704,189.3868895,143.6077313
26/11/2016,175.7813726,146.3794616,147.7341207,104.8828437,189.4223231,143.6003103
27/11/2016,175.7033746,142.9286135,147.745314,102.5728862,189.8277275,141.6165776
28/11/2016,175.6258233,146.4327439,147.7565273,104.4686016,189.2763879,142.667166
29/11/2016,176.263004,145.974174,147.9106183,105.3269652,187.9983178,143.9865953
30/11/2016,176.9006798,146.4879019,148.0644857,105.6901162,187.4539666,144.9428604
01/12/2016,177.5388504,148.6745023,148.2181299,105.4081432,188.1644374,144.1199755
02/12/2016,178.1775156,150.9405479,148.3715515,105.6321746,188.6216877,143.9266127
03/12/2016,178.8166751,153.7470923,148.5247508,106.8960566,189.8132286,142.4263757
04/12/2016,179.4563288,147.1128384,148.6777284,103.7137692,187.5704375,143.0751633
05/12/2016,180.0964762,147.8724902,148.8304847,103.1370863,187.9195333,143.0892169
06/12/2016,179.7111434,145.2836741,148.840163,103.0609338,188.8667451,143.264465
07/12/2016,179.324347,148.789933,148.8496208,105.8718912,189.6551168,143.3417523
08/12/2016,178.936087,153.8209617,148.8588585,107.8681049,189.7952062,143.7543902
09/12/2016,178.546363,156.3052924,148.8678766,109.3616476,189.391676,143.7563213
10/12/2016,178.1551748,152.4182386,148.8766755,104.9570257,187.7283987,143.9594451
11/12/2016,177.7625223,145.2889715,148.8852556,102.9546546,185.9045161,144.2599802
12/12/2016,177.3684052,149.130168,148.8936173,105.5891663,188.5099348,144.1952038
13/12/2016,176.9728234,149.3870003,148.9017609,105.5850158,188.0081106,143.1637769
14/12/2016,176.5775379,149.6210106,148.9098825,106.4610914,188.1343964,143.3489741
15/12/2016,176.1825485,146.9717286,148.9179826,104.0956206,188.1785533,143.8929155
16/12/2016,175.7878549,147.5546493,148.9260614,104.6339533,189.2426483,143.5765831
17/12/2016,175.9980026,149.2792588,148.9341194,105.1236825,189.5216377,143.1266421
18/12/2016,176.2084457,148.4400896,148.9421568,106.7559087,189.1501217,143.5827904
19/12/2016,176.4191842,150.0575658,148.9501741,106.8796825,188.6294827,143.5068666
20/12/2016,176.6302179,152.0828899,148.9581716,107.5200673,188.6139884,142.6877712
21/12/2016,176.8413508,152.7024093,148.9659538,108.2461594,188.040314,143.2276
22/12/2016,177.0525827,151.5112794,148.9735213,107.3406279,188.7279423,143.0942263
23/12/2016,176.9741961,151.479985,149.1700626,107.1844173,188.6008686,143.0720704
24/12/2016,176.884662,152.3881281,149.1836033,105.5532219,189.0045179,142.2962586
25/12/2016,176.7951829,151.8723309,149.196972,106.3997704,189.6342423,143.0217211
26/12/2016,176.7057584,150.8484721,149.210169,105.861555,189.8986563,142.8025805
27/12/2016,176.9663885,151.0021263,149.8660519,105.9463969,189.0247847,142.1608156
28/12/2016,177.2271491,144.611127,150.5219594,103.1466864,186.4945652,145.258786
29/12/2016,177.48804,143.7362396,151.1778918,101.4417574,185.2008829,144.7460164
30/12/2016,177.749061,147.3322447,151.8338495,102.9912675,188.7072377,143.7460227
31/12/2016,178.010212,149.6321999,152.4898327,104.8361326,188.7664922,144.447927
01/01/2017,178.2714929,148.4641514,153.1458417,104.8471968,188.6489594,143.8386612
02/01/2017,178.5329035,145.8072401,153.8018767,103.4797673,187.5798654,143.3806806
03/01/2017,178.0087292,149.6081279,153.4936524,105.3920698,187.6441476,143.6041605
04/01/2017,177.4846845,148.3095452,153.1854547,104.4577172,188.6371221,143.3863508
05/01/2017,176.9607689,148.3936136,152.8772838,105.0508167,187.6532225,144.445083
06/01/2017,176.4369823,151.6271749,152.56914,106.3824022,188.5191074,143.6526333
07/01/2017,175.9133247,149.9802691,152.2610237,106.3074531,187.6645704,144.1771732
08/01/2017,175.389796,147.4621058,151.9529349,104.5874821,187.5197704,144.0290646
09/01/2017,174.8663958,148.711484,151.644874,104.7470126,188.202709,143.6528088
10/01/2017,174.3431242,149.2895048,151.3368412,104.8273833,186.3180099,144.2380911
11/01/2017,173.819981,145.3820048,151.0288367,103.8398928,186.9584545,143.8733847
12/01/2017,173.2969659,145.2775828,150.7208608,103.3196234,187.0384694,143.7864595
13/01/2017,172.774079,145.5232055,150.4129136,102.3788773,187.7913941,143.2575148
14/01/2017,172.25132,146.2733637,150.1049955,102.1904428,188.2018038,143.0313386
15/01/2017,171.7290042,148.7638725,149.7969109,103.7381263,188.8956364,142.9462517
16/01/2017,171.4897401,149.8553343,149.4777906,105.2524995,189.3598001,143.7270929
17/01/2017,171.6080617,151.3212531,149.4799327,106.831263,189.0019573,144.3929615
18/01/2017,171.726826,155.312124,149.481909,112.6031447,188.3163655,143.8574467
19/01/2017,171.8460329,152.6827551,149.4837197,109.1955955,188.1778978,143.7534033
20/01/2017,171.9656824,150.8209431,149.485365,107.3631902,188.2662366,143.9598193
21/01/2017,172.0857742,147.8859672,149.486845,104.0920381,188.2726016,143.9349644
