,Date,Id,BatchId,TD1,TS1,TD2,TS2,PD1,PD2,DT1,DT2,PR1,PR2
0,2017-02-14,1.0,4.0,185.66709899902344,26.28831672668457,135.0337371826172,32.85511016845703,2.4066965579986572,8.307279586791992,159.3787841796875,102.17862701416016,200.1959228515625,135.8467254638672
1,2017-02-15,,,184.58848571777344,25.611438751220703,132.65174102783203,31.690070152282715,2.3583983182907104,8.141724824905396,158.97704315185547,100.961669921875,197.38243103027344,135.33279418945312
2,2017-02-16,2.0,4.0,183.50987243652344,24.934560775756836,130.26974487304688,30.5250301361084,2.3101000785827637,7.976170063018799,158.57530212402344,99.74471282958984,194.56893920898438,134.81886291503906
3,2017-02-17,,,182.0572021484375,24.01058921813965,129.59691467285157,29.385138702392577,2.323471212387085,8.044902992248534,158.0466064453125,100.21177520751954,195.34783935546875,135.2984588623047
4,2017-02-18,,,180.60453186035156,23.08661766052246,128.92408447265626,28.245247268676756,2.336842346191406,8.113635921478272,157.51791076660157,100.67883758544922,196.12673950195312,135.7780548095703
5,2017-02-19,,,179.15186157226563,22.162646102905274,128.25125427246093,27.10535583496094,2.3502134799957277,8.182368850708007,156.9892150878906,101.14589996337891,196.9056396484375,136.25765075683594
6,2017-02-20,,,177.69919128417968,21.238674545288085,127.57842407226562,25.965464401245118,2.363584613800049,8.251101779937745,156.46051940917968,101.61296234130859,197.68453979492188,136.73724670410155
7,2017-02-21,3.0,4.0,176.24652099609375,20.3147029876709,126.90559387207031,24.825572967529297,2.37695574760437,8.31983470916748,155.93182373046875,102.08002471923828,198.46343994140625,137.2168426513672
8,2017-02-22,4.0,4.0,176.41392517089844,21.087251663208008,126.4809341430664,25.323564529418945,2.34511399269104,8.283306121826172,155.32667541503906,101.1573715209961,196.60858154296875,137.97024536132812
9,2017-02-23,5.0,4.0,172.0592041015625,16.86502456665039,123.81568908691406,22.05433464050293,2.3779399394989014,8.309664726257324,155.19418334960938,101.7613525390625,198.52078247070312,137.02801513671875
10,2017-02-24,,,173.27449417114258,18.11822271347046,124.3033504486084,23.17612934112549,2.3776155710220337,8.30021858215332,155.1562728881836,101.1272201538086,198.50188446044922,136.90241622924805
11,2017-02-25,,,174.48978424072266,19.371420860290527,124.79101181030273,24.297924041748047,2.377291202545166,8.290772438049316,155.1183624267578,100.49308776855469,198.4829864501953,136.77681732177734
12,2017-02-26,,,175.70507431030273,20.624619007110596,125.27867317199707,25.419718742370605,2.3769668340682983,8.281326293945312,155.08045196533203,99.85895538330078,198.4640884399414,136.65121841430664
13,2017-02-27,6.0,4.0,176.9203643798828,21.877817153930664,125.7663345336914,26.541513442993164,2.3766424655914307,8.271880149841309,155.04254150390625,99.22482299804688,198.4451904296875,136.52561950683594
14,2017-02-28,7.0,4.0,175.09779357910156,20.368335723876953,121.4425277709961,24.412395477294922,2.314927577972412,8.139137268066406,154.72946166992188,97.03013610839844,194.8501434326172,137.06033325195312
15,2017-03-01,8.0,4.0,178.58981323242188,22.868106842041016,126.93157196044922,27.67475700378418,2.2624025344848633,8.08427619934082,155.72171020507812,99.2568130493164,191.79043579101562,138.41375732421875
16,2017-03-02,9.0,4.0,175.9369354248047,20.863475799560547,123.16792297363281,25.844526290893555,2.3126332759857178,8.22032356262207,155.07345581054688,97.32340240478516,194.7165069580078,138.36880493164062
17,2017-03-03,,,175.09484481811523,22.705671787261963,123.83727645874023,27.1062273979187,2.3089824318885803,8.232329368591309,152.3891716003418,96.73105430603027,194.50383758544922,138.70096969604492
