Vibration3HDate,Vibration3H
2017-02-13,
2017-02-14,
2017-02-15,
2017-02-16,178.44496351152927
2017-02-17,178.8382403369591
2017-02-18,174.10605598814877
2017-02-19,169.56663337530034
2017-02-20,167.30400992803553
2017-02-21,166.2949967003364
2017-02-22,168.015313874324
2017-02-23,167.69047238478478
2017-02-24,165.33027610460118
2017-02-25,164.94487948588645
2017-02-26,166.0715953384218
2017-02-27,169.63604709910854
2017-02-28,172.19288081923688
2017-03-01,170.5175749619848
2017-03-02,168.78014828088533
2017-03-03,166.6555685628082
2017-03-04,162.40205075124888
2017-03-05,160.96356645451536
2017-03-06,162.38232087184915
2017-03-07,167.27407718611738
2017-03-08,172.5106083953419
2017-03-09,166.52860860114268
2017-03-10,172.32126101629405
2017-03-11,170.0666209101749
2017-03-12,173.32404439265403
2017-03-13,176.60487671686226
2017-03-14,179.24966556163665
2017-03-15,176.996290463085
2017-03-16,180.06872025313874
2017-03-17,181.447727704688
2017-03-18,181.88811871793996
2017-03-19,183.44689687939174
2017-03-20,185.6078072719767
2017-03-21,182.85201901714532
2017-03-22,171.482399159338
2017-03-23,171.00230299155987
2017-03-24,172.43133588955413
2017-03-25,172.70496860989735
2017-03-26,171.8422147917353
2017-03-27,173.57619871204443
2017-03-28,174.79235351775844
2017-03-29,175.90375182565626
2017-03-30,176.99761283176005
2017-03-31,177.50708766888036
2017-04-01,181.03701004546645
2017-04-02,184.00188209852226
2017-04-03,185.6874192002446
2017-04-04,186.53714888791086
2017-04-05,180.10576006179008
2017-04-06,176.99107840848666
2017-04-07,175.146872065524
2017-04-08,178.70626852288186
2017-04-09,183.43124126425374
2017-04-10,189.00094475807396
2017-04-11,192.64305040177604
2017-04-12,187.6290010496291
2017-04-13,181.24958172648988
2017-04-14,180.8127978207562
2017-04-15,180.15129586887107
2017-04-16,181.6845424685683
2017-04-17,183.34436157280072
2017-04-18,183.27251738415933
2017-04-19,183.90278956434062
2017-04-20,185.03924313778785
2017-04-21,184.9231356633666
2017-04-22,189.2864864132082
2017-04-23,188.60754321865443
2017-04-24,189.78566218874587
2017-04-25,190.26013741574909
2017-04-26,189.19020908417613
2017-04-27,186.27761396434184
2017-04-28,181.9798714246732
2017-04-29,184.05632388598156
2017-04-30,184.509869905123
2017-05-01,188.7124183727396
2017-05-02,191.73828928636598
2017-05-03,192.081963042254
2017-05-04,190.90748234278283
2017-05-05,192.3906879255819
2017-05-06,194.69287473202283
2017-05-07,194.63383308417252
2017-05-08,196.9076684480483
2017-05-09,198.90881716285955
2017-05-10,195.1304036431045
2017-05-11,189.0207613459026
2017-05-12,189.24842292879765
2017-05-13,193.21439109470438
2017-05-14,189.31687340591407
2017-05-15,196.34852450331428
2017-05-16,194.42342375081492
2017-05-17,190.03028507934053
2017-05-18,190.9304045988277
2017-05-19,191.93985952427718
2017-05-20,190.5138898325962
2017-05-21,191.31833681927097
2017-05-22,196.38309451089486
2017-05-23,195.87157006410067
2017-05-24,193.89235086496294
2017-05-25,194.36124507884418
2017-05-26,198.00954936446635
2017-05-27,199.58480730209908
2017-05-28,199.3502269215893
2017-05-29,201.61978787664714
2017-05-30,204.30202057616705
2017-05-31,199.9663989831237
2017-06-01,194.6895007526524
2017-06-02,193.28402707552212
2017-06-03,187.45146649813623
2017-06-04,191.5918838618435
2017-06-05,187.14018528569989
2017-06-06,190.47416983665693
2017-06-07,202.27071641817562
2017-06-08,199.73487603196327
2017-06-09,191.93742277554222
2017-06-10,191.12276330385123
2017-06-11,193.45478706537705
2017-06-12,194.32783769184238
2017-06-13,194.85024934734787
2017-06-14,194.07369535354158
2017-06-15,194.87748459474074
2017-06-16,196.0336604757006
2017-06-17,193.75022510511903
2017-06-18,192.88897177835074
2017-06-19,195.3752418788523
2017-06-20,196.6229758896995
2017-06-21,195.50561881554685
2017-06-22,196.34922500161323
2017-06-23,193.72554170252215
2017-06-24,192.69788649977693
2017-06-25,193.26524775373326
2017-06-26,196.14073624010965
2017-06-27,199.01924071755556
2017-06-28,199.80999554574666
2017-06-29,200.3135044405772
2017-06-30,199.3815700765059
2017-07-01,199.56461982904196
2017-07-02,197.21627374956722
2017-07-03,198.37648775715888
2017-07-04,196.59136387434688
